cik,fiscal_year,n_ai,n_deployment,n_intent,n_boilerplate,n_governance,share_deployment,share_intent,share_boilerplate
1800,2025,1,0,0,1,0,0.0,0.0,1.0
2488,2018,1,0,0,0,0,0.0,0.0,0.0
2488,2019,2,0,0,1,0,0.0,0.0,0.5
2488,2020,7,0,0,0,0,0.0,0.0,0.0
2488,2021,7,2,1,1,0,0.2857142857142857,0.14285714285714285,0.14285714285714285
2488,2022,5,2,1,0,0,0.4,0.2,0.0
2488,2023,10,4,0,2,0,0.4,0.0,0.2
2488,2024,6,5,0,1,0,0.8333333333333334,0.0,0.16666666666666666
2488,2025,8,6,0,1,0,0.75,0.0,0.125
2969,2024,1,0,0,1,0,0.0,0.0,1.0
2969,2025,2,0,0,2,0,0.0,0.0,1.0
4127,2023,1,0,0,0,0,0.0,0.0,0.0
4127,2024,1,0,0,0,0,0.0,0.0,0.0
4127,2025,1,0,0,0,0,0.0,0.0,0.0
4281,2024,1,0,0,1,0,0.0,0.0,1.0
4281,2025,1,0,0,1,0,0.0,0.0,1.0
4962,2018,3,0,0,3,0,0.0,0.0,1.0
4962,2019,4,0,0,4,0,0.0,0.0,1.0
4962,2020,8,1,0,7,0,0.125,0.0,0.875
4962,2021,6,0,0,5,1,0.0,0.0,0.8333333333333334
4962,2022,6,0,0,5,1,0.0,0.0,0.8333333333333334
4962,2023,12,0,2,7,3,0.0,0.16666666666666666,0.5833333333333334
4962,2024,22,0,1,15,6,0.0,0.045454545454545456,0.6818181818181818
4962,2025,2,1,0,0,1,0.5,0.0,0.0
4977,2023,2,0,0,1,1,0.0,0.0,0.5
4977,2024,2,0,0,1,1,0.0,0.0,0.5
4977,2025,3,0,0,2,1,0.0,0.0,0.6666666666666666
5272,2021,4,0,0,0,4,0.0,0.0,0.0
5272,2022,3,0,0,2,1,0.0,0.0,0.6666666666666666
5272,2023,17,0,0,11,6,0.0,0.0,0.6470588235294118
5272,2024,17,0,2,9,6,0.0,0.11764705882352941,0.5294117647058824
5272,2025,18,0,0,11,7,0.0,0.0,0.6111111111111112
6281,2022,2,0,0,0,0,0.0,0.0,0.0
6281,2023,4,0,0,2,0,0.0,0.0,0.5
6281,2024,3,0,0,1,1,0.0,0.0,0.3333333333333333
6281,2025,7,1,0,1,1,0.14285714285714285,0.0,0.14285714285714285
6951,2019,2,0,0,0,0,0.0,0.0,0.0
6951,2020,2,0,0,0,0,0.0,0.0,0.0
6951,2021,2,0,0,0,0,0.0,0.0,0.0
6951,2022,2,0,0,0,0,0.0,0.0,0.0
6951,2023,8,0,0,4,0,0.0,0.0,0.5
6951,2024,7,0,0,3,0,0.0,0.0,0.42857142857142855
6951,2025,5,0,0,1,0,0.0,0.0,0.2
7084,2024,1,0,0,1,0,0.0,0.0,1.0
7084,2025,3,0,0,3,0,0.0,0.0,1.0
8670,2019,3,3,0,0,0,1.0,0.0,0.0
8670,2020,5,4,0,0,1,0.8,0.0,0.0
