cik,company,sector,filing_date,n_paragraphs,year,month,fiscal_year,assets,net_income,revenue,liabilities,roa,log_assets,leverage,revenue_prev,sales_growth,has_ai
1800,Abbott Laboratories,Health Care,2019-02-22,1,2019,2,2018,67173000000.0,2368000000.0,30578000000.0,67173000000.0,0.03525225909219478,24.93053721802372,1.0,,,1
1800,Abbott Laboratories,Health Care,2020-02-21,6,2020,2,2019,67887000000.0,3687000000.0,31904000000.0,67887000000.0,0.054310840072473374,24.941110395154123,1.0,30578000000.0,0.04336451043233702,1
1800,Abbott Laboratories,Health Care,2021-02-19,6,2021,2,2020,72548000000.0,4495000000.0,34608000000.0,72548000000.0,0.061958978882946464,25.00751424870159,1.0,31904000000.0,0.08475426278836506,1
1800,Abbott Laboratories,Health Care,2022-02-18,6,2022,2,2021,75196000000.0,7071000000.0,43075000000.0,75196000000.0,0.0940342571413373,25.043363874998125,1.0,34608000000.0,0.2446544151641239,1
1800,Abbott Laboratories,Health Care,2023-02-17,3,2023,2,2022,74438000000.0,6933000000.0,43653000000.0,74438000000.0,0.09313791343131196,25.033232401083872,1.0,43075000000.0,0.013418456181079508,1
1800,Abbott Laboratories,Health Care,2024-02-16,4,2024,2,2023,73214000000.0,5723000000.0,40109000000.0,73214000000.0,0.07816810992433142,25.01665249645702,1.0,43653000000.0,-0.08118571461297042,1
1800,Abbott Laboratories,Health Care,2025-02-21,5,2025,2,2024,81414000000.0,13402000000.0,41950000000.0,81414000000.0,0.1646154224089223,25.12281308533828,1.0,40109000000.0,0.045899922710613605,1
1800,Abbott Laboratories,Health Care,2026-02-20,4,2026,2,2025,86713000000.0,6524000000.0,44328000000.0,86713000000.0,0.07523670037941255,25.18586965182255,1.0,41950000000.0,0.05668653158522052,1
2488,Advanced Micro Devices,Information Technology,2019-02-08,2,2019,2,2018,4556000000.0,337000000.0,6475000000.0,4556000000.0,0.07396839332748024,22.239710882531348,1.0,,,1
2488,Advanced Micro Devices,Information Technology,2020-02-04,4,2020,2,2019,6028000000.0,341000000.0,6731000000.0,6028000000.0,0.05656934306569343,22.51968111771066,1.0,6475000000.0,0.03953667953667961,1
