Symbol,Security,GICS Sector,cik_str
MMM,3M,Industrials,66740
AOS,A. O. Smith,Industrials,91142
ABT,Abbott Laboratories,Health Care,1800
ABBV,AbbVie,Health Care,1551152
ACN,Accenture,Information Technology,1467373
ADBE,Adobe Inc.,Information Technology,796343
AMD,Advanced Micro Devices,Information Technology,2488
AES,AES Corporation,Utilities,874761
AFL,Aflac,Financials,4977
A,Agilent Technologies,Health Care,1090872
APD,Air Products,Materials,2969
ABNB,Airbnb,Consumer Discretionary,1559720
AKAM,Akamai Technologies,Information Technology,1086222
ALB,Albemarle Corporation,Materials,915913
ARE,Alexandria Real Estate Equities,Real Estate,1035443
ALGN,Align Technology,Health Care,1097149
ALLE,Allegion,Industrials,1579241
LNT,Alliant Energy,Utilities,352541
ALL,Allstate,Financials,899051
GOOGL,Alphabet Inc. (Class A),Communication Services,1652044
GOOG,Alphabet Inc. (Class C),Communication Services,1652044
MO,Altria,Consumer Staples,764180
AMZN,Amazon,Consumer Discretionary,1018724
AMCR,Amcor,Materials,1748790
AEE,Ameren,Utilities,1002910
AXP,American Express,Financials,4962
AIG,American International Group,Financials,5272
AMT,American Tower,Real Estate,1053507
AWK,American Water Works,Utilities,1410636
AMP,Ameriprise Financial,Financials,820027
AME,Ametek,Industrials,1037868
AMGN,Amgen,Health Care,318154
APH,Amphenol,Information Technology,820313
ADI,Analog Devices,Information Technology,6281
AON,Aon plc,Financials,315293
APA,APA Corporation,Energy,1841666
APO,Apollo Global Management,Financials,1858681
AAPL,Apple Inc.,Information Technology,320193
AMAT,Applied Materials,Information Technology,6951
APP,AppLovin,Information Technology,1751008
APTV,Aptiv,Consumer Discretionary,1521332
ACGL,Arch Capital Group,Financials,947484
ADM,Archer Daniels Midland,Consumer Staples,7084
ARES,Ares Management,Financials,1176948
ANET,Arista Networks,Information Technology,1596532
AJG,Arthur J. Gallagher & Co.,Financials,354190
AIZ,Assurant,Financials,1267238
T,AT&T,Communication Services,732717
ATO,Atmos Energy,Utilities,731802
ADSK,Autodesk,Information Technology,769397
ADP,Automatic Data Processing,Industrials,8670
AZO,AutoZone,Consumer Discretionary,866787
AVB,AvalonBay Communities,Real Estate,915912
AVY,Avery Dennison,Materials,8818
AXON,Axon Enterprise,Industrials,1069183
BKR,Baker Hughes,Energy,1701605
BALL,Ball Corporation,Materials,9389
BAC,Bank of America,Financials,70858
BAX,Baxter International,Health Care,10456
BDX,Becton Dickinson,Health Care,10795
BBY,Best Buy,Consumer Discretionary,764478
TECH,Bio-Techne,Health Care,842023
BIIB,Biogen,Health Care,875045
BLK,BlackRock,Financials,2012383
BX,Blackstone Inc.,Financials,1393818
XYZ,"Block, Inc.",Financials,1512673
BNY,BNY Mellon,Financials,1390777
BA,Boeing,Industrials,12927
BKNG,Booking Holdings,Consumer Discretionary,1075531
BSX,Boston Scientific,Health Care,885725
BMY,Bristol Myers Squibb,Health Care,14272
AVGO,Broadcom,Information Technology,1730168
BR,Broadridge Financial Solutions,Industrials,1383312
BRO,Brown & Brown,Financials,79282
BLDR,Builders FirstSource,Industrials,1316835
BG,Bunge Global,Consumer Staples,1996862
BXP,"BXP, Inc.",Real Estate,1037540
CHRW,C.H. Robinson,Industrials,1043277
CDNS,Cadence Design Systems,Information Technology,813672
CPT,Camden Property Trust,Real Estate,906345
COF,Capital One,Financials,927628
CAH,Cardinal Health,Health Care,721371
CCL,Carnival Corporation,Consumer Discretionary,815097
CARR,Carrier Global,Industrials,1783180
CVNA,Carvana,Consumer Discretionary,1690820
CASY,Casey's,Consumer Staples,726958
CAT,Caterpillar Inc.,Industrials,18230
CBOE,Cboe Global Markets,Financials,1374310
CBRE,CBRE Group,Real Estate,1138118
CDW,CDW Corporation,Information Technology,1402057
COR,Cencora,Health Care,1140859
CNC,Centene Corporation,Health Care,1071739
CNP,CenterPoint Energy,Utilities,1130310
CF,CF Industries,Materials,1324404
CRL,Charles River Laboratories,Health Care,1100682
SCHW,Charles Schwab Corporation,Financials,316709
CHTR,Charter Communications,Communication Services,1091667
CVX,Chevron Corporation,Energy,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,1058090
CB,Chubb Limited,Financials,896159
CHD,Church & Dwight,Consumer Staples,313927
CIEN,Ciena,Information Technology,936395
CI,Cigna,Health Care,1739940
CINF,Cincinnati Financial,Financials,20286
CTAS,Cintas,Industrials,723254
CSCO,Cisco,Information Technology,858877
C,Citigroup,Financials,831001
CFG,Citizens Financial Group,Financials,759944
CLX,Clorox,Consumer Staples,21076
CME,CME Group,Financials,1156375
CMS,CMS Energy,Utilities,811156
KO,Coca-Cola Company (The),Consumer Staples,21344
CTSH,Cognizant,Information Technology,1058290
